"","Factor","df","LRT","F","p","label"
"276","stim_type:US_type",1,1.40305913628981,0.134417485913374,0.223,"R_PCV_ROI-rh"
"277","stim_type:US_type",1,0.375843645550049,0.0357981306866439,0.436,"R_PEF_ROI-rh"
"278","stim_type:US_type",1,0.36508242139098,0.0348569621548061,0.423,"R_PF_ROI-rh"
"279","stim_type:US_type",1,4.62399640236254,0.442981652436005,0.063,"R_PFcm_ROI-rh"
"280","stim_type:US_type",1,0.0113875821989495,0.00108905852538834,0.884,"R_PFm_ROI-rh"
"281","stim_type:US_type",1,2.13628638624505,0.204329416765194,0.163,"R_PFop_ROI-rh"
"282","stim_type:US_type",1,4.56850661827775,0.435834081887674,0.08,"R_PFt_ROI-rh"
"283","stim_type:US_type",1,5.38883445016108,0.515540419329386,0.054,"R_PGi_ROI-rh"
"284","stim_type:US_type",1,35.6324825951124,3.38902453293693,0.001,"R_PGp_ROI-rh"
"285","stim_type:US_type",1,13.7086858240909,1.31662280437816,0.004,"R_PGs_ROI-rh"
"286","stim_type:US_type",1,11.1763908456451,1.05864689902396,0.01,"R_PHA1_ROI-rh"
"287","stim_type:US_type",1,0.103124818888318,0.00976155990459295,0.651,"R_PHA2_ROI-rh"
"288","stim_type:US_type",1,0.890528869680566,0.0849915822574278,0.29,"R_PHA3_ROI-rh"
"289","stim_type:US_type",1,53.2988393943888,5.13035800466869,0,"R_PHT_ROI-rh"
"290","stim_type:US_type",1,0.451427905085438,0.0431559926203409,0.403,"R_PH_ROI-rh"
"291","stim_type:US_type",1,3.63331325654872,0.343031117852781,0.086,"R_PIT_ROI-rh"
"292","stim_type:US_type",1,1.30654856743786,0.124069196898472,0.21,"R_PI_ROI-rh"
"293","stim_type:US_type",1,85.8821387158168,8.25403410109044,0,"R_POS1_ROI-rh"
"294","stim_type:US_type",1,50.8717453124846,4.89215734488216,0,"R_POS2_ROI-rh"
"295","stim_type:US_type",1,7.92104357710195,0.756469060758135,0.016,"R_PSL_ROI-rh"
"296","stim_type:US_type",1,9.81142075793832,0.934108153692108,0.023,"R_PeEc_ROI-rh"
"297","stim_type:US_type",1,17.1051434392684,1.6305327671478,0.006,"R_Pir_ROI-rh"
"298","stim_type:US_type",1,9.80480311001156,0.939775453361248,0.018,"R_PoI1_ROI-rh"
"299","stim_type:US_type",1,21.4997306052101,2.04688080383416,0.001,"R_PoI2_ROI-rh"
"300","stim_type:US_type",1,10.2247311922001,0.983708557422513,0.017,"R_PreS_ROI-rh"
"301","stim_type:US_type",1,28.9063132415358,2.78508254035873,0,"R_ProS_ROI-rh"
"302","stim_type:US_type",1,4.57132437986365,0.435050483825622,0.065,"R_RI_ROI-rh"
"303","stim_type:US_type",1,39.7669023660965,3.77783485086742,0,"R_RSC_ROI-rh"
